Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,139862.5781250000,105019.7109375000,142833.9531250000,145300.0312500000,110853.2187500000,119354.0781250000,142048.3593750000,132334.8750000000,,,
0.0040000000,0,137955.8125000000,102792.9375000000,140851.9375000000,142956.0781250000,108753.7968750000,117084.5000000000,139837.5000000000,130718.9218750000,,,
0.0079999999,0,133713.7656250000,98333.0390625000,136537.8437500000,138353.4531250000,104347.8671875000,112562.1640625000,135380.2500000000,126709.2109375000,,,
0.0119999999,0,132863.2656250000,97621.2656250000,135699.3281250000,137817.0156250000,103586.2578125000,111891.0703125000,134689.6875000000,125712.5546875000,,,
0.0159999998,0,136584.8593750000,101721.2656250000,139466.1406250000,142056.2656250000,107513.2500000000,116040.3203125000,138722.4687500000,129136.8984375000,,,
0.0199999998,0,139726.5625000000,104907.8906250000,142663.7187500000,145224.4218750000,110711.7578125000,119227.6406250000,141925.1718750000,132214.1250000000,,,
0.0240000000,0,137991.5937500000,102849.2890625000,140902.9843750000,142978.8750000000,108792.1562500000,117089.8125000000,139884.5156250000,130743.0390625000,,,
0.0279999999,0,133722.5625000000,98323.4921875000,136574.5312500000,138400.6875000000,104370.4296875000,112519.7812500000,135395.7812500000,126697.5703125000,,,
0.0319999999,0,132893.7187500000,97669.9687500000,135722.0468750000,137848.1875000000,103611.7109375000,111894.4296875000,134706.2187500000,125744.9296875000,,,
0.0359999998,0,136621.7968750000,101772.2500000000,139492.6250000000,142113.6718750000,107545.3593750000,116060.4609375000,138750.7656250000,129178.3984375000,,,
0.0399999998,0,139860.7812500000,105052.3750000000,142801.2343750000,145321.4062500000,110840.1328125000,119329.5078125000,142032.4062500000,132332.7343750000,,,
0.0440000000,0,138059.4531250000,102898.3750000000,140978.6406250000,143074.7656250000,108874.4453125000,117135.5937500000,139953.9062500000,130786.3828125000,,,
0.0480000000,0,133756.1250000000,98359.4609375000,136589.0468750000,138475.6875000000,104396.5234375000,112545.2109375000,135419.5000000000,126718.3281250000,,,
0.0519999999,0,132853.5312500000,97612.7343750000,135672.0312500000,137843.4062500000,103566.1640625000,111834.9609375000,134656.3750000000,125688.4140625000,,,
0.0559999999,0,136587.9531250000,101715.1718750000,139471.3750000000,142044.9062500000,107523.0937500000,115998.5312500000,138721.7031250000,129118.5312500000,,,
0.0599999998,0,139826.1562500000,105013.8359375000,142760.7031250000,145292.5781250000,110817.3828125000,119295.3671875000,142003.7500000000,132285.8906250000,,,
0.0639999998,0,138102.2656250000,102965.8359375000,141018.8281250000,143071.6718750000,108924.5468750000,117184.3359375000,139995.2968750000,130826.0000000000,,,
0.0680000000,0,133825.2500000000,98450.0703125000,136673.2656250000,138498.9062500000,104481.0703125000,112619.0781250000,135473.6250000000,126791.2031250000,,,
0.0719999999,0,132868.1250000000,97643.3671875000,135695.7968750000,137849.3593750000,103591.8359375000,111855.8593750000,134653.4843750000,125711.4218750000,,,
0.0759999999,0,136605.4531250000,101764.4687500000,139483.9531250000,142076.1718750000,107541.8203125000,116032.2187500000,138736.6093750000,129149.3437500000,,,
0.0799999998,0,139841.1718750000,105035.2890625000,142795.8593750000,145318.3281250000,110843.5937500000,119310.2500000000,142021.3437500000,132304.1562500000,,,
0.0839999998,0,138096.1718750000,102961.5390625000,141019.4375000000,143100.6718750000,108920.7421875000,117175.4531250000,139967.6093750000,130822.3203125000,,,
0.0880000000,0,133739.6562500000,98362.2265625000,136568.9531250000,138451.9218750000,104391.9375000000,112538.2343750000,135384.9687500000,126711.5390625000,,,
0.0919999999,0,132872.7968750000,97656.7734375000,135694.0156250000,137784.7500000000,103592.7734375000,111853.9765625000,134653.5156250000,125724.6484375000,,,
0.0959999999,0,136618.1718750000,101757.0156250000,139507.0781250000,142039.4843750000,107555.3593750000,116026.1015625000,138733.6250000000,129166.8906250000,,,
0.0999999999,0,139851.5000000000,105023.8671875000,142801.8750000000,145307.9218750000,110853.6250000000,119313.3359375000,142023.0625000000,132320.3125000000,,,
0.1039999998,0,138100.2812500000,102950.3281250000,141008.3906250000,143121.7343750000,108916.9843750000,117184.4687500000,139954.1718750000,130836.1640625000,,,
0.1079999998,0,133766.3750000000,98366.5937500000,136597.5156250000,138464.3593750000,104410.8984375000,112548.4843750000,135377.3906250000,126738.3125000000,,,
0.1120000000,0,132837.5156250000,97590.9843750000,135666.8437500000,137811.5156250000,103556.5937500000,111784.3750000000,134589.4062500000,125675.2734375000,,,
0.1159999999,0,136587.1406250000,101707.1250000000,139494.4218750000,142041.4375000000,107535.1093750000,115970.9296875000,138699.6250000000,129121.1328125000,,,
0.1199999999,0,139826.0937500000,105009.3281250000,142768.1562500000,145312.3437500000,110825.5625000000,119290.8906250000,141991.7656250000,132300.4062500000,,,
0.1239999998,0,138106.1250000000,102962.2968750000,141019.8125000000,143143.2656250000,108924.3593750000,117152.4453125000,139959.3750000000,130830.6093750000,,,
0.1279999998,1,133795.0625000000,98411.5781250000,136640.0937500000,138503.0937500000,104443.4921875000,112536.4921875000,135397.4687500000,126757.1640625000,,,
0.1319999998,1,132864.5312500000,97658.6015625000,135697.4218750000,137766.5625000000,103578.3671875000,111797.0078125000,134596.9375000000,125711.6953125000,,,
0.1359999997,1,136572.9062500000,101742.7734375000,139458.4218750000,141987.9062500000,107508.5546875000,115963.2031250000,138645.5000000000,129126.5468750000,,,
0.1399999997,1,139828.4531250000,105037.4140625000,142783.1562500000,145329.5937500000,110836.1093750000,119262.6406250000,141974.2500000000,132294.1562500000,,,
0.1439999996,1,138110.0156250000,102993.9140625000,141034.0000000000,143147.7968750000,108938.8750000000,117151.9609375000,139963.7968750000,130833.6640625000,,,
0.1479999996,1,133798.3437500000,98443.3906250000,136657.5781250000,138460.2343750000,104457.3281250000,112545.5859375000,135398.5468750000,126768.9140625000,,,
0.1519999998,1,132784.9218750000,97586.5859375000,135615.3750000000,137759.2968750000,103508.5781250000,111730.8671875000,134515.9687500000,125639.8125000000,,,
0.1559999997,1,136523.7656250000,101686.6093750000,139419.3125000000,141995.6093750000,107468.1875000000,115898.5390625000,138584.1562500000,129067.8046875000,,,
0.1599999997,1,139869.9531250000,105089.5781250000,142816.6718750000,145385.4375000000,110876.9296875000,119305.5078125000,141989.6718750000,132335.3593750000,,,
0.1639999996,1,138237.1250000000,103129.2890625000,141158.0000000000,143262.1875000000,109066.4921875000,117274.3515625000,140043.2812500000,130963.8359375000,,,
0.1679999996,1,133896.1093750000,98544.1328125000,136752.8281250000,138535.5468750000,104552.6796875000,112618.1406250000,135447.9843750000,126865.7968750000,,,
0.1719999998,1,132826.4375000000,97620.5390625000,135662.4218750000,137739.6562500000,103550.6875000000,111734.5703125000,134508.2656250000,125682.0000000000,,,
0.1759999997,1,136504.3125000000,101660.9375000000,139408.5000000000,141972.9687500000,107462.7968750000,115851.2187500000,138514.8750000000,129044.0703125000,,,
0.1799999997,1,139865.7343750000,105086.9218750000,142820.7812500000,145365.6406250000,110882.1640625000,119284.7968750000,141896.3906250000,132327.3593750000,,,
0.1839999997,1,138198.0000000000,103079.4531250000,141123.1250000000,143266.3750000000,109033.9296875000,117222.6640625000,139908.1250000000,130914.6718750000,,,
0.1879999996,1,133857.1562500000,98489.9765625000,136716.8750000000,138560.7968750000,104522.8593750000,112572.8359375000,135336.9843750000,126816.5468750000,,,
0.1919999996,1,132810.9687500000,97601.3906250000,135650.5625000000,137743.0625000000,103541.5703125000,111715.1171875000,134413.5781250000,125664.6250000000,,,
0.1959999998,1,136511.3437500000,101667.5078125000,139410.8437500000,141945.1562500000,107466.3906250000,115854.4687500000,138461.9218750000,129060.6484375000,,,
0.1999999997,1,139871.0781250000,105081.3437500000,142840.6093750000,145337.2031250000,110894.8984375000,119259.1015625000,141888.7500000000,132329.2968750000,,,
0.2039999997,1,138240.7812500000,103119.3671875000,141180.3906250000,143255.0937500000,109080.3359375000,117229.4218750000,139950.2500000000,130961.4218750000,,,
0.2079999996,1,133838.7031250000,98468.8671875000,136686.1406250000,138527.4531250000,104498.2109375000,112532.9531250000,135292.9531250000,126830.9531250000,,,
0.2119999996,1,132765.5625000000,97548.7109375000,135600.5937500000,137659.9375000000,103490.3906250000,111636.9375000000,134354.3125000000,125659.9843750000,,,
0.2159999998,1,136441.6875000000,101581.0390625000,139349.8437500000,141885.0156250000,107394.3203125000,115746.0234375000,138374.4062500000,129025.5390625000,,,
0.2199999997,1,139833.9062500000,105043.2578125000,142786.7656250000,145351.8281250000,110853.8593750000,119221.1250000000,141844.5156250000,132336.5156250000,,,
0.2239999997,1,138241.5000000000,103121.5937500000,141168.2500000000,143292.7656250000,109083.8437500000,117228.0546875000,139947.8750000000,131001.8437500000,,,
0.2279999997,1,133841.0625000000,98459.3750000000,136705.0468750000,138543.8125000000,104516.2578125000,112514.5000000000,135296.8125000000,126850.7500000000,,,
0.2319999996,1,132770.0312500000,97551.7421875000,135625.4062500000,137660.4218750000,103515.8203125000,111619.5546875000,134352.3437500000,125664.0312500000,,,
0.2359999996,1,136507.1093750000,101674.1875000000,139427.5468750000,141879.5937500000,107472.9375000000,115795.2968750000,138444.5937500000,129086.7187500000,,,
0.2399999998,1,139898.4843750000,105139.6015625000,142837.9531250000,145424.5625000000,110917.5625000000,119281.7109375000,141896.8906250000,132404.0781250000,,,
0.2439999997,1,138274.9531250000,103183.9531250000,141189.7656250000,143320.9375000000,109119.1953125000,117263.6171875000,139964.7187500000,131040.1953125000,,,
0.2479999997,1,133861.1093750000,98498.3750000000,136716.0156250000,138554.5156250000,104536.9140625000,112523.4062500000,135294.2968750000,126863.8906250000,,,
0.2519999996,1,132736.3750000000,97532.8046875000,135570.9531250000,137646.3750000000,103476.9296875000,111583.3437500000,134299.1406250000,125623.0468750000,,,
0.2559999996,2,136492.7812500000,101680.6562500000,139398.0937500000,141910.8437500000,107464.2187500000,115785.3437500000,138387.3593750000,129055.2031250000,,,
0.2599999995,2,139934.2968750000,105180.6953125000,142899.5000000000,145433.7343750000,110976.6250000000,119295.5546875000,141913.8750000000,132400.4062500000,,,
0.2639999995,2,138298.3125000000,103201.7109375000,141228.1093750000,143384.4218750000,109157.6328125000,117264.6640625000,139975.2031250000,131025.9296875000,,,
0.2679999995,2,133856.4375000000,98504.2968750000,136708.0000000000,138569.9687500000,104530.4218750000,112499.9921875000,135253.5781250000,126842.9453125000,,,
0.2719999994,2,132723.0468750000,97524.7031250000,135569.1406250000,137635.2656250000,103468.5859375000,111548.5312500000,134250.5625000000,125595.7968750000,,,
0.2759999994,2,136445.3125000000,101625.9062500000,139354.4843750000,141873.9062500000,107423.3203125000,115724.2968750000,138325.8281250000,129003.0312500000,,,
0.2799999996,2,139922.8125000000,105175.1718750000,142872.4218750000,145465.1406250000,110963.9687500000,119284.1250000000,141857.9218750000,132389.6406250000,,,
0.2839999995,2,138334.5781250000,103256.5859375000,141255.7187500000,143402.7968750000,109194.8593750000,117301.1718750000,139975.4218750000,131065.7578125000,,,
0.2879999995,2,133889.1406250000,98547.6953125000,136751.4843750000,138578.7343750000,104579.5859375000,112538.0468750000,135281.0937500000,126881.4843750000,,,
0.2919999994,2,132687.2656250000,97499.0078125000,135526.3750000000,137628.1406250000,103440.4531250000,111518.7031250000,134206.3281250000,125577.1796875000,,,
0.2959999994,2,136394.8593750000,101587.3125000000,139291.0156250000,141878.7968750000,107370.8515625000,115675.5937500000,138251.0000000000,128965.9687500000,,,
0.2999999996,2,139913.7187500000,105172.0078125000,142878.2343750000,145443.5781250000,110965.5234375000,119268.2187500000,141842.2812500000,132386.0468750000,,,
0.3039999995,2,138382.9843750000,103306.4453125000,141330.0625000000,143419.4218750000,109257.7109375000,117338.8046875000,140003.1562500000,131115.2656250000,,,
0.3079999995,2,133877.3125000000,98533.8593750000,136725.1718750000,138594.6406250000,104562.7421875000,112525.0156250000,135251.4531250000,126877.1953125000,,,
0.3119999995,2,132677.1718750000,97482.3281250000,135508.4687500000,137602.6562500000,103421.6484375000,111497.5390625000,134164.4375000000,125568.3593750000,,,
0.3159999994,2,136391.4687500000,101572.3437500000,139294.0781250000,141827.0468750000,107371.3593750000,115660.8359375000,138226.4218750000,128958.7500000000,,,
0.3199999994,2,139908.6875000000,105173.1562500000,142857.0468750000,145427.8906250000,110959.8671875000,119276.6953125000,141807.4375000000,132387.7187500000,,,
0.3239999996,2,138371.2343750000,103303.3125000000,141296.1875000000,143418.4375000000,109245.4218750000,117340.4375000000,139986.2187500000,131113.3125000000,,,
0.3279999995,2,133898.0625000000,98550.0078125000,136761.4375000000,138586.7031250000,104599.3515625000,112530.5937500000,135258.0781250000,126892.9921875000,,,
0.3319999995,2,132676.1093750000,97479.3515625000,135521.8281250000,137596.8125000000,103438.0390625000,111478.2812500000,134152.7343750000,125562.5937500000,,,
0.3359999994,2,136376.4062500000,101565.3750000000,139281.8750000000,141832.6562500000,107366.3984375000,115631.0937500000,138205.3125000000,128944.6953125000,,,
0.3399999994,2,139922.0468750000,105185.1171875000,142891.2500000000,145433.1250000000,110992.2421875000,119266.9062500000,141840.1718750000,132391.6250000000,,,
0.3439999996,2,138415.6250000000,103349.6328125000,141355.8750000000,143447.0000000000,109302.2890625000,117365.3281250000,140013.9843750000,131146.5781250000,,,
0.3479999995,2,133913.1093750000,98560.2265625000,136773.1250000000,138596.8906250000,104612.4140625000,112535.1562500000,135259.5312500000,126908.0156250000,,,
0.3519999995,2,132657.3750000000,97457.3828125000,135492.4531250000,137566.2343750000,103415.6640625000,111467.3906250000,134133.1562500000,125554.9218750000,,,
0.3559999994,2,136360.4062500000,101543.5156250000,139271.0937500000,141791.4375000000,107358.8671875000,115622.0234375000,138199.2343750000,128940.7265625000,,,
0.3599999994,2,139875.3750000000,105130.6718750000,142834.9218750000,145431.3281250000,110943.6875000000,119226.0546875000,141775.6875000000,132353.8593750000,,,
0.3639999994,2,138405.7343750000,103343.9453125000,141334.1718750000,143501.0937500000,109292.6015625000,117362.9453125000,140006.0000000000,131145.8281250000,,,
0.3679999996,2,133939.6875000000,98602.7656250000,136810.6250000000,138623.9531250000,104651.1171875000,112554.0390625000,135281.9531250000,126939.7734375000,,,
0.3719999995,2,132694.4218750000,97525.1093750000,135535.9062500000,137557.2187500000,103458.4453125000,111489.7578125000,134151.0312500000,125603.0625000000,,,
0.3759999995,2,136325.5468750000,101529.0781250000,139219.2500000000,141799.9843750000,107319.4062500000,115587.7500000000,138142.1718750000,128918.4609375000,,,
0.3799999994,2,139890.6250000000,105163.6093750000,142845.0312500000,145440.7656250000,110964.9843750000,119232.6796875000,141784.2187500000,132371.4062500000,,,
0.3839999994,3,138474.5312500000,103417.8437500000,141421.3906250000,143505.1250000000,109375.7500000000,117399.7421875000,140064.8125000000,131201.7187500000,,,
0.3879999993,3,133992.7500000000,98671.5078125000,136865.4687500000,138622.8593750000,104707.9296875000,112591.7187500000,135339.0000000000,126992.5000000000,,,
0.3919999993,3,132615.6250000000,97434.6328125000,135436.6562500000,137544.5312500000,103374.6562500000,111399.4765625000,134065.9687500000,125522.7031250000,,,
0.3959999993,3,136273.6250000000,101465.2421875000,139174.4843750000,141741.6718750000,107271.3671875000,115495.5312500000,138075.2031250000,128849.1562500000,,,
0.3999999992,3,139881.6250000000,105159.7500000000,142844.6250000000,145405.1406250000,110957.4765625000,119194.6796875000,141776.2500000000,132354.2187500000,,,
0.4039999992,3,138442.4218750000,103390.4843750000,141373.4843750000,143477.2343750000,109331.7890625000,117356.3671875000,140020.4531250000,131173.1562500000,,,
0.4079999994,3,133940.9218750000,98615.0781250000,136797.7500000000,138611.2968750000,104649.9140625000,112533.0625000000,135256.0625000000,126940.5468750000,,,
0.4119999993,3,132623.4843750000,97435.5468750000,135466.7031250000,137513.2031250000,103393.6718750000,111380.4375000000,134062.9687500000,125523.9921875000,,,
0.4159999993,3,136270.1562500000,101445.3671875000,139186.9218750000,141690.2031250000,107276.0078125000,115468.7421875000,138062.0937500000,128849.5000000000,,,
0.4199999992,3,139841.8437500000,105095.5625000000,142807.7500000000,145370.4062500000,110921.1875000000,119129.7656250000,141714.0781250000,132317.3593750000,,,
0.4239999992,3,138439.4218750000,103363.9296875000,141384.4375000000,143469.5312500000,109341.0937500000,117334.0781250000,140021.0156250000,131165.7031250000,,,
0.4279999994,3,133982.9062500000,98643.9609375000,136844.6562500000,138626.0000000000,104694.6484375000,112554.7890625000,135289.4687500000,126985.0156250000,,,
0.4319999993,3,132594.1562500000,97394.2109375000,135427.9687500000,137507.2968750000,103358.8828125000,111334.1093750000,134012.3750000000,125503.6093750000,,,
0.4359999993,3,136208.1250000000,101392.3984375000,139117.9062500000,141627.5781250000,107211.7734375000,115395.5937500000,137988.2187500000,128790.7343750000,,,
0.4399999992,3,139842.7031250000,105121.1250000000,142822.9062500000,145341.1250000000,110930.0937500000,119129.2265625000,141715.7187500000,132314.5937500000,,,
0.4439999992,3,138418.9843750000,103366.6640625000,141369.6250000000,143489.9218750000,109339.4843750000,117325.3125000000,139999.8750000000,131145.8750000000,,,
0.4479999992,3,133989.1875000000,98658.9843750000,136866.1406250000,138671.6250000000,104719.2734375000,112542.8203125000,135307.6406250000,126976.8906250000,,,
0.4519999993,3,132650.7031250000,97471.8125000000,135484.4062500000,137561.5000000000,103422.8828125000,111372.7343750000,134079.1093750000,125554.5703125000,,,
0.4559999993,3,136226.2031250000,101425.1718750000,139119.8125000000,141661.5937500000,107223.3046875000,115403.0781250000,137986.7968750000,128813.5078125000,,,
0.4599999993,3,139837.2343750000,105133.9140625000,142790.6406250000,145333.3125000000,110911.5312500000,119124.4296875000,141682.9062500000,132317.8750000000,,,
0.4639999992,3,138464.3906250000,103426.4765625000,141409.0312500000,143532.0000000000,109370.9218750000,117357.4140625000,140025.8906250000,131186.5468750000,,,
0.4679999992,3,133989.4531250000,98664.3515625000,136854.9375000000,138703.5156250000,104709.6718750000,112547.9218750000,135285.1718750000,126976.4609375000,,,
0.4719999994,3,132633.1875000000,97453.9218750000,135473.2656250000,137521.3281250000,103405.3437500000,111359.4062500000,134045.9843750000,125532.4921875000,,,
0.4759999993,3,136242.4531250000,101459.9843750000,139155.6718750000,141619.6562500000,107244.2500000000,115415.3125000000,137995.3593750000,128826.5937500000,,,
0.4799999993,3,139835.8906250000,105147.0625000000,142807.7187500000,145294.5625000000,110922.7656250000,119126.0078125000,141683.0781250000,132320.7343750000,,,
0.4839999992,3,138369.1718750000,103316.6640625000,141310.2187500000,143515.3906250000,109288.1796875000,117262.1953125000,139930.5156250000,131085.0468750000,,,
0.4879999992,3,133965.7343750000,98651.1250000000,136825.3750000000,138695.1093750000,104692.3750000000,112521.9062500000,135243.5156250000,126947.2500000000,,,
0.4919999992,3,132595.8281250000,97425.6484375000,135433.6093750000,137499.8906250000,103369.9609375000,111316.7343750000,133993.8750000000,125494.8671875000,,,
0.4959999993,3,136214.2343750000,101431.5312500000,139133.1406250000,141608.9687500000,107225.4218750000,115375.3984375000,137968.5000000000,128794.2265625000,,,
0.4999999993,3,139794.5468750000,105082.0703125000,142782.8906250000,145337.2031250000,110899.3281250000,119053.3203125000,141639.5937500000,132259.8750000000,,,
0.5039999993,3,138413.7500000000,103382.8359375000,141360.1093750000,143517.8593750000,109344.7968750000,117311.6562500000,139971.4218750000,131136.4843750000,,,
0.5079999992,3,134021.6406250000,98724.3203125000,136884.0625000000,138708.2031250000,104754.1953125000,112580.0781250000,135278.7343750000,127012.3750000000,,,
0.5119999992,4,132649.2812500000,97490.6406250000,135502.0312500000,137508.3437500000,103431.6015625000,111349.5859375000,134025.3593750000,125551.7031250000,,,
0.5159999991,4,136187.4843750000,101409.5625000000,139107.4062500000,141602.3437500000,107206.4843750000,115351.2031250000,137935.1875000000,128781.8828125000,,,
0.5199999991,4,139743.1562500000,105045.8046875000,142715.0781250000,145319.4218750000,110849.5156250000,119024.7578125000,141579.5937500000,132225.8906250000,,,
0.5239999990,4,138486.0156250000,103492.2734375000,141416.7812500000,143557.2656250000,109407.1093750000,117398.5625000000,140030.4843750000,131221.4687500000,,,
