Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,134883.1093750000,109354.1562500000,132581.8437500000,139726.2343750000,107763.1796875000,119898.0078125000,132039.5625000000,125469.9453125000,,,
0.0040000000,0,136458.5781250000,111196.1640625000,134166.6875000000,141663.1406250000,109474.1640625000,121775.8750000000,133774.6875000000,126604.4687500000,,,
0.0079999999,0,138042.7968750000,112864.6328125000,135778.9375000000,143343.0156250000,111116.9062500000,123450.7265625000,135414.1562500000,128008.7343750000,,,
0.0119999999,0,137453.5156250000,112058.8984375000,135202.1562500000,142456.0000000000,110432.4375000000,122615.7265625000,134702.3750000000,127746.0156250000,,,
0.0159999998,0,135503.6562500000,109897.2812500000,133236.8125000000,140218.1250000000,108371.7968750000,120428.7109375000,132616.7187500000,126181.7812500000,,,
0.0199999998,0,134904.3437500000,109362.7187500000,132613.6093750000,139723.3906250000,107789.3046875000,119907.7656250000,132032.1875000000,125487.8125000000,,,
0.0240000000,0,136451.7656250000,111173.3671875000,134166.2343750000,141640.6093750000,109468.3671875000,121758.3281250000,133757.7343750000,126595.6718750000,,,
0.0279999999,0,138035.9375000000,112851.3281250000,135777.8125000000,143336.0156250000,111115.0312500000,123447.6406250000,135422.2343750000,127999.2734375000,,,
0.0319999999,0,137466.4218750000,112076.4687500000,135211.7343750000,142478.5000000000,110443.1093750000,122636.0546875000,134719.0312500000,127754.1953125000,,,
0.0359999998,0,135496.7968750000,109884.7812500000,133218.1718750000,140202.8125000000,108350.1250000000,120418.6250000000,132599.4218750000,126165.3125000000,,,
0.0399999998,0,134874.8750000000,109332.5703125000,132569.3593750000,139695.5781250000,107743.0937500000,119877.5703125000,132008.3437500000,125453.7187500000,,,
0.0440000000,0,136465.2343750000,111201.3437500000,134170.3437500000,141666.1250000000,109471.1875000000,121781.1562500000,133760.7343750000,126609.8828125000,,,
0.0480000000,0,138059.5625000000,112880.8125000000,135795.0000000000,143355.8281250000,111134.1562500000,123479.2343750000,135423.2500000000,128021.1015625000,,,
0.0519999999,0,137473.8750000000,112087.6562500000,135215.3750000000,142462.3281250000,110453.9218750000,122654.7265625000,134725.4687500000,127759.1015625000,,,
0.0559999999,0,135508.3281250000,109912.8359375000,133230.5468750000,140207.2343750000,108373.0078125000,120445.2265625000,132627.2812500000,126179.9843750000,,,
0.0599999998,0,134851.7812500000,109320.6875000000,132553.6093750000,139659.7656250000,107734.0546875000,119862.4687500000,131994.3593750000,125437.3281250000,,,
0.0639999998,0,136404.2656250000,111149.0156250000,134116.8593750000,141588.1718750000,109422.5859375000,121724.7812500000,133707.7031250000,126562.6250000000,,,
0.0680000000,0,138040.8125000000,112887.6484375000,135780.1718750000,143343.6562500000,111120.0703125000,123471.2734375000,135400.7500000000,128015.6562500000,,,
0.0719999999,0,137499.0625000000,112138.3437500000,135248.6406250000,142511.2812500000,110481.6562500000,122692.6796875000,134739.0781250000,127790.7812500000,,,
0.0759999999,0,135485.1250000000,109903.7421875000,133209.2812500000,140197.0468750000,108344.1484375000,120431.1484375000,132596.7656250000,126164.3984375000,,,
0.0799999998,0,134812.1093750000,109291.6875000000,132512.2500000000,139634.1093750000,107681.9921875000,119827.3281250000,131943.0625000000,125405.4140625000,,,
0.0839999998,0,136391.1562500000,111139.0625000000,134097.0312500000,141594.0781250000,109395.1406250000,121714.7421875000,133679.6875000000,126548.8671875000,,,
0.0880000000,0,138078.5781250000,112915.7031250000,135817.8906250000,143399.8125000000,111151.0234375000,123502.4687500000,135415.6250000000,128040.2578125000,,,
0.0919999999,0,137505.6406250000,112129.0390625000,135248.4843750000,142528.4687500000,110484.4453125000,122691.1250000000,134738.1875000000,127783.4296875000,,,
0.0959999999,0,135453.6093750000,109858.7343750000,133173.6250000000,140165.3906250000,108314.4843750000,120399.0937500000,132578.4687500000,126122.0156250000,,,
0.0999999999,0,134760.8437500000,109227.9062500000,132458.5468750000,139574.9843750000,107635.8281250000,119774.8125000000,131903.8125000000,125349.5390625000,,,
0.1039999998,0,136387.1562500000,111125.0312500000,134099.6406250000,141572.8593750000,109400.5859375000,121709.9687500000,133692.0781250000,126541.6796875000,,,
0.1079999998,0,138159.7500000000,113004.2187500000,135896.1718750000,143453.6718750000,111239.9687500000,123597.7109375000,135537.7812500000,128125.3593750000,,,
0.1120000000,0,137631.5625000000,112257.2500000000,135378.6718750000,142632.7343750000,110619.0859375000,122820.0078125000,134884.7656250000,127910.9687500000,,,
0.1159999999,0,135474.2187500000,109866.1093750000,133202.0625000000,140178.7812500000,108340.3125000000,120402.9843750000,132579.0156250000,126144.6328125000,,,
0.1199999999,0,134712.6718750000,109172.9218750000,132415.4687500000,139495.8906250000,107591.6562500000,119727.1250000000,131845.9843750000,125310.1406250000,,,
0.1239999998,0,136367.7656250000,111106.1796875000,134075.2812500000,141537.3437500000,109381.6250000000,121694.2500000000,133666.4843750000,126528.9062500000,,,
0.1279999998,1,138159.0000000000,112988.8984375000,135894.1718750000,143461.1562500000,111236.1875000000,123589.8515625000,135509.1562500000,128118.3906250000,,,
0.1319999998,1,137638.2500000000,112253.0625000000,135381.4062500000,142615.1406250000,110618.8203125000,122823.9453125000,134874.4687500000,127908.2890625000,,,
0.1359999997,1,135486.2500000000,109874.6953125000,133211.2812500000,140116.5781250000,108347.0703125000,120412.3984375000,132597.5156250000,126148.9453125000,,,
0.1399999997,1,134691.1875000000,109138.5937500000,132396.3750000000,139391.2500000000,107565.3906250000,119679.5390625000,131812.9687500000,125280.3125000000,,,
0.1439999996,1,136336.9218750000,111071.5000000000,134045.9062500000,141402.2656250000,109349.3593750000,121648.8437500000,133633.2031250000,126497.7187500000,,,
0.1479999996,1,138159.2031250000,112997.0000000000,135892.0937500000,143352.7656250000,111238.2500000000,123583.3593750000,135537.0312500000,128120.2343750000,,,
0.1519999998,1,137668.0468750000,112299.7890625000,135411.0937500000,142552.5625000000,110653.6640625000,122853.2890625000,134917.4687500000,127944.1796875000,,,
0.1559999997,1,135509.0781250000,109909.5078125000,133229.3125000000,140076.2343750000,108370.7812500000,120428.9218750000,132606.1562500000,126185.5625000000,,,
0.1599999997,1,134698.8906250000,109150.7421875000,132401.1718750000,139328.3906250000,107575.3984375000,119674.2265625000,131817.5000000000,125306.1953125000,,,
0.1639999996,1,136346.2500000000,111074.1562500000,134057.3125000000,141333.5000000000,109362.7421875000,121638.0859375000,133632.5468750000,126521.1875000000,,,
0.1679999996,1,138190.4062500000,113031.3593750000,135918.0937500000,143307.1718750000,111271.6953125000,123611.3906250000,135551.1875000000,128170.2109375000,,,
0.1719999998,1,137681.5156250000,112314.5390625000,135413.7343750000,142509.1406250000,110665.7578125000,122865.6250000000,134925.6406250000,127972.0703125000,,,
0.1759999997,1,135521.3906250000,109924.3671875000,133234.4843750000,140031.7656250000,108382.6875000000,120447.9375000000,132616.5937500000,126210.1015625000,,,
0.1799999997,1,134699.2656250000,109152.9375000000,132390.9375000000,139283.0000000000,107571.0234375000,119686.3750000000,131812.4375000000,125319.7656250000,,,
0.1839999997,1,136323.9843750000,111048.3750000000,134028.7656250000,141285.8906250000,109335.7343750000,121618.8281250000,133603.4218750000,126506.1406250000,,,
0.1879999996,1,138178.7968750000,113014.2500000000,135918.6562500000,143288.1250000000,111267.6718750000,123598.8671875000,135543.5937500000,128155.6406250000,,,
0.1919999996,1,137709.6406250000,112338.1953125000,135456.4062500000,142547.9687500000,110701.1953125000,122892.6093750000,134937.2812500000,127990.9531250000,,,
0.1959999998,1,135541.7031250000,109937.6718750000,133265.5468750000,140078.3125000000,108403.2109375000,120460.2500000000,132622.4843750000,126222.3593750000,,,
0.1999999997,1,134683.7656250000,109131.4531250000,132387.2031250000,139308.6250000000,107558.8515625000,119665.4609375000,131799.2343750000,125299.9453125000,,,
0.2039999997,1,136299.8281250000,111027.2109375000,134014.0156250000,141311.8750000000,109316.9609375000,121596.0312500000,133579.7187500000,126482.0781250000,,,
0.2079999996,1,138155.6093750000,112991.4765625000,135898.6406250000,143315.0937500000,111243.6718750000,123569.1953125000,135495.5937500000,128126.0546875000,,,
0.2119999996,1,137689.5312500000,112317.6015625000,135437.8750000000,142586.0625000000,110682.3359375000,122871.2343750000,134933.3906250000,127961.4765625000,,,
0.2159999998,1,135534.4062500000,109932.7109375000,133261.6562500000,140121.2500000000,108402.8046875000,120456.4375000000,132643.1718750000,126207.3125000000,,,
0.2199999997,1,134678.4062500000,109124.9921875000,132386.5000000000,139342.3593750000,107557.4843750000,119654.5156250000,131802.1406250000,125286.5078125000,,,
0.2239999997,1,136285.7343750000,111002.0546875000,134004.4375000000,141335.1093750000,109306.2031250000,121567.8125000000,133579.3593750000,126454.1015625000,,,
0.2279999997,1,138146.7656250000,112972.4296875000,135893.5000000000,143343.6562500000,111241.3593750000,123548.0859375000,135514.8281250000,128100.8984375000,,,
0.2319999996,1,137704.1718750000,112332.4296875000,135451.0156250000,142624.0625000000,110697.0625000000,122881.0546875000,134942.8593750000,127963.0859375000,,,
0.2359999996,1,135546.1562500000,109947.9218750000,133269.7031250000,140168.2968750000,108409.7812500000,120464.1953125000,132634.8750000000,126209.7812500000,,,
0.2399999998,1,134657.4062500000,109110.2968750000,132353.4062500000,139353.8593750000,107525.5078125000,119631.4453125000,131767.7500000000,125268.8046875000,,,
0.2439999997,1,136253.1250000000,110984.4062500000,133954.7343750000,141331.0625000000,109255.1875000000,121541.2343750000,133528.4843750000,126438.5156250000,,,
0.2479999997,1,138123.8125000000,112965.1875000000,135854.6093750000,143344.3437500000,111201.3437500000,123539.1015625000,135482.8437500000,128092.8281250000,,,
0.2519999996,1,137692.7187500000,112333.4531250000,135430.9218750000,142596.6562500000,110680.2421875000,122882.6875000000,134936.3437500000,127963.7578125000,,,
0.2559999996,2,135524.6093750000,109929.1718750000,133246.1875000000,140106.0937500000,108391.9687500000,120449.9531250000,132622.9375000000,126198.8125000000,,,
0.2599999995,2,134644.2031250000,109099.1640625000,132346.0625000000,139302.7968750000,107521.8046875000,119629.5937500000,131763.7500000000,125266.7187500000,,,
0.2639999995,2,136236.4687500000,110966.7031250000,133947.4218750000,141266.2343750000,109251.9687500000,121529.7265625000,133525.5625000000,126428.7265625000,,,
0.2679999995,2,138118.9218750000,112961.7812500000,135858.4062500000,143298.6718750000,111207.8593750000,123532.7500000000,135483.2500000000,128092.0234375000,,,
0.2719999994,2,137708.0312500000,112349.7343750000,135457.7968750000,142618.9531250000,110704.1171875000,122886.5781250000,134945.8125000000,127972.6640625000,,,
0.2759999994,2,135565.1875000000,109974.3125000000,133295.0312500000,140173.6250000000,108432.9296875000,120478.2187500000,132653.7812500000,126231.7500000000,,,
0.2799999996,2,134671.6875000000,109128.5859375000,132377.3281250000,139355.6406250000,107543.8593750000,119634.7500000000,131770.0468750000,125291.0703125000,,,
0.2839999995,2,136230.8437500000,110953.5859375000,133945.1406250000,141298.4375000000,109240.6484375000,121496.8671875000,133473.1562500000,126422.4296875000,,,
0.2879999995,2,138117.1875000000,112953.6015625000,135859.8281250000,143334.8281250000,111203.6484375000,123515.0468750000,135460.9062500000,128085.0703125000,,,
0.2919999994,2,137737.1718750000,112375.2890625000,135489.1562500000,142678.2031250000,110734.5078125000,122915.5468750000,134978.3750000000,127993.7968750000,,,
0.2959999994,2,135597.9687500000,110000.1171875000,133336.2031250000,140222.3125000000,108473.4843750000,120516.9531250000,132692.4375000000,126255.7812500000,,,
0.2999999996,2,134661.6875000000,109102.4375000000,132374.9218750000,139366.6406250000,107540.7968750000,119630.2421875000,131773.1718750000,125273.5546875000,,,
0.3039999995,2,136214.1562500000,110926.8203125000,133935.7812500000,141300.4843750000,109232.6250000000,121493.1171875000,133506.2500000000,126399.4375000000,,,
0.3079999995,2,138110.2656250000,112939.4687500000,135855.9375000000,143352.7968750000,111202.3359375000,123520.0312500000,135480.0937500000,128072.2265625000,,,
0.3119999995,2,137741.3437500000,112374.5937500000,135494.6562500000,142700.2656250000,110742.5546875000,122927.1328125000,134988.8125000000,127989.2109375000,,,
0.3159999994,2,135607.2968750000,110006.5000000000,133342.9062500000,140261.7187500000,108484.4296875000,120528.1328125000,132705.0468750000,126253.9843750000,,,
0.3199999994,2,134660.1093750000,109096.6953125000,132368.7812500000,139401.8281250000,107536.5625000000,119621.9531250000,131766.4375000000,125262.9609375000,,,
0.3239999996,2,136194.7656250000,110908.3671875000,133907.4531250000,141296.0781250000,109202.8046875000,121463.0781250000,133464.6718750000,126377.0390625000,,,
0.3279999995,2,138116.5312500000,112961.8906250000,135856.5312500000,143346.2812500000,111200.8046875000,123523.2500000000,135467.5000000000,128079.8984375000,,,
0.3319999995,2,137722.5781250000,112371.7265625000,135471.5781250000,142704.0312500000,110724.1484375000,122917.4218750000,134951.3437500000,127975.7968750000,,,
0.3359999994,2,135578.9062500000,110001.9140625000,133309.3125000000,140252.7031250000,108456.1562500000,120518.6953125000,132672.4843750000,126244.1953125000,,,
0.3399999994,2,134629.4531250000,109089.9921875000,132339.2500000000,139370.5468750000,107510.0312500000,119611.4921875000,131750.2812500000,125259.6875000000,,,
0.3439999996,2,136156.7500000000,110888.8671875000,133882.1093750000,141274.8906250000,109180.2187500000,121442.8750000000,133449.9218750000,126367.5234375000,,,
0.3479999995,2,138058.4687500000,112919.9687500000,135813.9687500000,143325.8750000000,111162.4531250000,123489.9140625000,135419.1406250000,128048.8125000000,,,
0.3519999995,2,137709.7812500000,112374.5937500000,135471.3125000000,142708.0468750000,110723.2656250000,122921.9531250000,134956.2500000000,127981.7812500000,,,
0.3559999994,2,135573.0468750000,110001.9687500000,133314.7656250000,140257.3125000000,108457.1250000000,120520.8984375000,132677.3906250000,126247.9453125000,,,
0.3599999994,2,134605.5312500000,109072.5312500000,132324.9687500000,139351.7187500000,107489.5390625000,119590.6250000000,131715.2343750000,125245.2343750000,,,
0.3639999994,2,136110.8906250000,110851.2578125000,133842.2812500000,141219.2968750000,109132.8203125000,121400.7968750000,133389.3906250000,126333.1875000000,,,
0.3679999996,2,137990.4531250000,112850.4765625000,135744.3593750000,143258.2500000000,111086.0859375000,123418.2968750000,135345.0625000000,127984.6484375000,,,
0.3719999995,2,137676.7031250000,112345.1718750000,135432.1562500000,142676.4062500000,110684.3203125000,122891.5625000000,134917.1718750000,127943.6406250000,,,
0.3759999995,2,135572.9218750000,110005.0546875000,133309.2656250000,140249.5937500000,108457.1484375000,120518.8046875000,132666.9375000000,126240.8437500000,,,
0.3799999994,2,134607.4531250000,109069.6562500000,132320.7187500000,139335.7031250000,107492.8906250000,119584.1562500000,131709.5156250000,125240.8828125000,,,
0.3839999994,3,136109.5468750000,110834.8203125000,133830.3437500000,141201.9843750000,109130.2187500000,121387.3046875000,133373.5000000000,126322.1406250000,,,
0.3879999993,3,138037.4062500000,112889.5000000000,135780.0312500000,143295.7812500000,111132.9453125000,123461.6406250000,135375.0312500000,128019.4375000000,,,
0.3919999993,3,137727.4531250000,112387.7421875000,135475.2656250000,142715.4062500000,110734.7734375000,122940.0625000000,134960.4687500000,127984.5156250000,,,
0.3959999993,3,135599.9531250000,110020.9531250000,133328.4687500000,140278.1093750000,108478.8203125000,120544.8984375000,132689.6718750000,126260.4218750000,,,
0.3999999992,3,134601.6406250000,109049.1953125000,132309.6093750000,139336.8906250000,107480.7734375000,119576.7812500000,131699.6718750000,125231.2812500000,,,
0.4039999992,3,136107.2656250000,110826.0468750000,133823.1562500000,141210.9218750000,109123.7343750000,121385.9375000000,133377.0468750000,126318.2187500000,,,
0.4079999994,3,138032.0468750000,112878.8515625000,135772.3906250000,143295.1250000000,111126.3203125000,123453.7265625000,135385.9375000000,128011.5312500000,,,
0.4119999993,3,137734.0312500000,112390.9843750000,135482.0781250000,142735.0312500000,110744.2968750000,122938.5312500000,134974.9218750000,127981.6718750000,,,
0.4159999993,3,135616.3906250000,110034.1015625000,133343.8437500000,140300.3125000000,108500.3593750000,120553.1328125000,132706.5000000000,126268.4687500000,,,
0.4199999992,3,134609.5781250000,109055.8984375000,132316.2343750000,139338.9843750000,107491.3359375000,119575.0390625000,131703.7500000000,125235.2265625000,,,
0.4239999992,3,136082.3281250000,110798.2343750000,133795.0625000000,141172.9687500000,109093.7734375000,121348.3046875000,133335.7343750000,126295.2109375000,,,
0.4279999994,3,138031.0312500000,112881.8828125000,135771.7187500000,143289.6406250000,111124.0937500000,123444.1796875000,135368.3125000000,128008.2031250000,,,
0.4319999993,3,137782.4687500000,112451.6796875000,135532.7968750000,142778.1093750000,110792.6250000000,122987.2109375000,135001.1718750000,128025.1562500000,,,
0.4359999993,3,135675.1562500000,110107.3750000000,133401.5937500000,140355.9687500000,108553.5703125000,120607.7734375000,132747.5000000000,126323.9921875000,,,
0.4399999992,3,134622.8750000000,109073.0625000000,132323.8437500000,139359.0937500000,107496.1406250000,119579.2812500000,131712.4687500000,125250.4843750000,,,
0.4439999992,3,136074.5468750000,110792.7890625000,133782.7812500000,141165.7812500000,109079.9296875000,121330.0390625000,133326.4375000000,126293.1171875000,,,
0.4479999992,3,138031.6718750000,112888.8828125000,135766.0312500000,143291.7500000000,111120.6093750000,123442.3593750000,135378.1093750000,128014.5859375000,,,
0.4519999993,3,137806.0468750000,112483.7578125000,135549.3437500000,142806.5156250000,110812.3984375000,123009.8515625000,135039.5937500000,128052.8046875000,,,
0.4559999993,3,135678.8593750000,110114.8593750000,133402.6875000000,140357.1406250000,108557.8359375000,120610.6171875000,132756.7656250000,126332.4921875000,,,
0.4599999993,3,134629.6406250000,109088.9687500000,132331.8750000000,139352.6406250000,107507.2421875000,119590.4062500000,131716.0000000000,125268.3515625000,,,
