Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,160635.9375000000,144543.0000000000,170667.1250000000,162171.6406250000,128923.7500000000,33916.8320312500,103425.1640625000,149013.0468750000,,,
0.0040000000,0,160950.6875000000,144713.0312500000,170962.0937500000,162456.8593750000,129235.1796875000,34261.6289062500,103701.3515625000,148987.7656250000,,,
0.0079999999,0,160087.2187500000,144588.4062500000,170088.4531250000,161655.4531250000,128422.1171875000,33536.1718750000,102865.3828125000,150259.2187500000,,,
0.0119999999,0,159210.5312500000,144319.8437500000,169222.1406250000,160846.2968750000,127577.9218750000,32711.3144531250,102030.9765625000,151059.1406250000,,,
0.0159999998,0,159533.2812500000,144283.0781250000,169562.7343750000,161152.3437500000,127872.8593750000,32923.1015625000,102355.9296875000,150287.8125000000,,,
0.0199999998,0,160606.2500000000,144522.6250000000,170637.8750000000,162144.4375000000,128898.7734375000,33877.4570312500,103395.6875000000,148976.6406250000,,,
0.0240000000,0,160934.3125000000,144696.4531250000,170944.7343750000,162447.1562500000,129219.5703125000,34232.4492187500,103697.5937500000,148929.9218750000,,,
0.0279999999,0,160076.4843750000,144572.5000000000,170072.3593750000,161649.5468750000,128405.7031250000,33510.4257812500,102855.2968750000,150229.0468750000,,,
0.0319999999,0,159198.3281250000,144306.5468750000,169206.4062500000,160825.8437500000,127560.3281250000,32688.1386718750,102013.6250000000,151075.7656250000,,,
0.0359999998,0,159527.6562500000,144281.1718750000,169555.2968750000,161131.0156250000,127860.4140625000,32905.5585937500,102342.5390625000,150310.8750000000,,,
0.0399999998,0,160611.9843750000,144527.1250000000,170641.4062500000,162143.6406250000,128894.0000000000,33858.4140625000,103386.9140625000,148954.9218750000,,,
0.0440000000,0,160939.0312500000,144694.1718750000,170950.4531250000,162445.2968750000,129219.3828125000,34207.6640625000,103685.8437500000,148874.5625000000,,,
0.0480000000,0,160078.0312500000,144564.0781250000,170074.7656250000,161645.1718750000,128404.4140625000,33485.3710937500,102847.3359375000,150205.8125000000,,,
0.0519999999,0,159206.3750000000,144305.5937500000,169212.6562500000,160836.7812500000,127565.1796875000,32673.3613281250,102014.4531250000,151119.6718750000,,,
0.0559999999,0,159519.9531250000,144272.5312500000,169545.7031250000,161127.9843750000,127851.6953125000,32885.0664062500,102332.2968750000,150347.5937500000,,,
0.0599999998,0,160588.7343750000,144507.0937500000,170616.4687500000,162118.5000000000,128868.4687500000,33832.5039062500,103357.3828125000,148914.0937500000,,,
0.0639999998,0,160949.9687500000,144698.3593750000,170961.2031250000,162470.1875000000,129228.3359375000,34217.5625000000,103692.5546875000,148805.7656250000,,,
0.0680000000,0,160105.3906250000,144576.7656250000,170107.2812500000,161672.0156250000,128437.5390625000,33509.8867187500,102872.4140625000,150197.7968750000,,,
0.0719999999,0,159223.5156250000,144309.4062500000,169232.1562500000,160848.6875000000,127585.7031250000,32686.1015625000,102028.2656250000,151165.6718750000,,,
0.0759999999,0,159533.7968750000,144280.1718750000,169561.0625000000,161134.1250000000,127868.0000000000,32891.3164062500,102339.4296875000,150390.5625000000,,,
0.0799999998,0,160605.5000000000,144521.0937500000,170632.6406250000,162142.9687500000,128886.7031250000,33838.1914062500,103371.7890625000,148923.6718750000,,,
0.0839999998,0,160962.7656250000,144704.4218750000,170973.6093750000,162484.3593750000,129240.7578125000,34216.8359375000,103703.6796875000,148798.7812500000,,,
0.0880000000,0,160114.0937500000,144582.2968750000,170110.7031250000,161692.1875000000,128436.3359375000,33506.1328125000,102869.5390625000,150191.9843750000,,,
