Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,178245.8437500000,207010.8281250000,170064.6875000000,171579.6718750000,140096.0625000000,122529.8437500000,136046.7812500000,158256.2031250000,,,
0.0040000000,0,178097.5781250000,210368.3437500000,169886.3125000000,171412.1718750000,139955.9218750000,122386.2109375000,135898.5312500000,158298.7343750000,,,
0.0079999999,0,178236.5468750000,211921.3906250000,169968.6093750000,171506.9531250000,139975.6875000000,122399.2187500000,135903.2812500000,158767.4531250000,,,
0.0119999999,0,178477.7812500000,209870.4062500000,170173.6875000000,171718.7500000000,140093.9687500000,122523.9687500000,136018.8125000000,159146.2187500000,,,
0.0159999998,0,178509.5156250000,206515.4843750000,170254.6093750000,171790.2031250000,140178.9375000000,122598.1875000000,136117.3593750000,158907.3125000000,,,
0.0199999998,0,178254.1718750000,206967.6718750000,170070.2656250000,171590.0312500000,140101.0000000000,122548.0000000000,136071.1875000000,158280.3906250000,,,
0.0240000000,0,178093.1250000000,210317.0781250000,169897.3906250000,171410.2968750000,139966.7500000000,122378.4062500000,135915.9687500000,158291.9062500000,,,
0.0279999999,0,178226.0312500000,211913.0468750000,169968.2500000000,171499.6406250000,139973.8125000000,122375.8281250000,135891.8125000000,158781.1093750000,,,
0.0319999999,0,178449.7187500000,209913.9687500000,170142.8906250000,171715.2812500000,140063.4531250000,122521.8750000000,135982.2500000000,159128.6718750000,,,
0.0359999998,0,178480.6718750000,206551.8437500000,170228.4843750000,171786.2031250000,140153.0312500000,122599.9843750000,136091.5000000000,158875.1406250000,,,
0.0399999998,0,178259.1250000000,206982.5000000000,170070.7656250000,171584.7187500000,140103.5468750000,122545.5859375000,136059.0468750000,158328.7500000000,,,
0.0440000000,0,178092.1093750000,210331.4531250000,169888.2187500000,171409.9218750000,139958.5781250000,122420.0859375000,135877.4843750000,158288.6250000000,,,
0.0480000000,0,178219.1875000000,211959.5625000000,169950.7187500000,171493.3281250000,139955.0000000000,122404.5312500000,135864.4531250000,158772.5781250000,,,
0.0519999999,0,178470.5312500000,209997.9218750000,170170.8750000000,171726.7656250000,140088.6093750000,122540.7890625000,136012.3125000000,159156.3750000000,,,
0.0559999999,0,178488.9687500000,206620.9375000000,170249.8125000000,171799.9062500000,140177.5468750000,122629.2734375000,136144.7968750000,158866.5312500000,,,
0.0599999998,0,178242.0468750000,206935.0781250000,170072.2968750000,171598.0468750000,140111.7187500000,122552.0781250000,136100.2187500000,158272.3750000000,,,
0.0639999998,0,178098.1875000000,210368.5312500000,169904.4531250000,171425.2656250000,139980.6406250000,122380.9765625000,135947.5625000000,158329.6406250000,,,
0.0680000000,0,178239.7656250000,212056.2500000000,169989.8750000000,171518.5000000000,140000.3906250000,122468.0468750000,135954.6562500000,158793.9843750000,,,
0.0719999999,0,178472.6250000000,209827.7343750000,170180.1718750000,171754.7968750000,140116.0468750000,122585.0937500000,136101.5468750000,159101.5781250000,,,
0.0759999999,0,178520.5937500000,206226.0625000000,170275.6718750000,171835.1562500000,140219.6875000000,122683.5312500000,136245.7500000000,158858.3906250000,,,
0.0799999998,0,178281.7031250000,206792.1250000000,170100.3593750000,171613.8125000000,140147.6406250000,122583.4843750000,136188.4375000000,158334.2812500000,,,
0.0839999998,0,178118.5000000000,210480.1875000000,169919.4375000000,171423.6718750000,140006.0000000000,122389.0546875000,136016.7656250000,158363.0625000000,,,
0.0880000000,0,178246.1406250000,212173.4375000000,169994.0625000000,171509.0000000000,140023.3750000000,122367.2187500000,136034.9218750000,158810.5000000000,,,
0.0919999999,0,178488.7968750000,209947.6093750000,170221.0000000000,171758.2500000000,140169.6562500000,122600.0625000000,136202.4062500000,159089.1093750000,,,
0.0959999999,0,178544.6250000000,206318.5156250000,170322.8125000000,171850.8437500000,140272.9531250000,122712.2890625000,136339.0937500000,158872.2187500000,,,
0.0999999999,0,178314.8125000000,206829.7031250000,170157.4375000000,171645.9218750000,140209.6718750000,122644.9375000000,136303.2343750000,158355.5781250000,,,
0.1039999998,0,178154.4375000000,210495.5781250000,169977.2656250000,171456.2343750000,140072.3750000000,122416.4140625000,136150.9062500000,158384.8125000000,,,
0.1079999998,0,178276.8750000000,212191.1406250000,170043.8750000000,171545.3750000000,140080.5000000000,122475.4218750000,136143.6875000000,158811.8281250000,,,
0.1120000000,0,178533.0312500000,209978.6406250000,170249.2500000000,171798.1406250000,140204.3906250000,122618.8906250000,136277.4218750000,159132.2968750000,,,
0.1159999999,0,178581.7187500000,206308.8750000000,170346.5625000000,171881.5000000000,140304.2812500000,122706.8984375000,136415.3125000000,158867.4218750000,,,
0.1199999999,0,178351.7968750000,206772.7500000000,170179.7968750000,171663.0312500000,140241.0937500000,122620.3437500000,136376.6406250000,158355.4375000000,,,
0.1239999998,0,178193.5781250000,210434.8281250000,170009.5156250000,171476.8593750000,140110.3906250000,122451.9218750000,136209.6718750000,158375.9843750000,,,
0.1279999998,1,178313.3906250000,212145.3593750000,170066.7812500000,171570.0937500000,140108.2343750000,122446.6406250000,136222.0625000000,158800.1875000000,,,
0.1319999998,1,178560.7968750000,209928.6718750000,170290.6093750000,171817.3437500000,140244.3906250000,122637.1562500000,136352.9531250000,159112.1406250000,,,
