Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,160479.8125000000,153660.6718750000,158184.9062500000,144871.3281250000,153681.9843750000,150332.2031250000,154574.0937500000,167336.3437500000,,,
0.0040000000,0,160472.1875000000,153663.3125000000,158131.5000000000,144884.8437500000,153639.2031250000,150334.1875000000,154543.1718750000,167373.1718750000,,,
0.0079999999,0,160233.7656250000,153426.2343750000,157883.2656250000,144648.2187500000,153376.9062500000,150101.3750000000,154286.1562500000,167158.6406250000,,,
0.0119999999,0,160104.8125000000,153287.0312500000,157773.6250000000,144522.1875000000,153273.3750000000,149959.2187500000,154157.0312500000,166999.2968750000,,,
0.0159999998,0,160220.4062500000,153394.3281250000,157925.3750000000,144637.2812500000,153432.9375000000,150054.4531250000,154282.2656250000,167086.7656250000,,,
0.0199999998,0,160411.7656250000,153594.1250000000,158126.1406250000,144825.0312500000,153630.1406250000,150231.4375000000,154471.0156250000,167282.0781250000,,,
0.0240000000,0,160407.1250000000,153592.7968750000,158092.3750000000,144851.0312500000,153601.0156250000,150224.0000000000,154444.8125000000,167301.5468750000,,,
0.0279999999,0,160196.1093750000,153379.1718750000,157863.5468750000,144628.8281250000,153367.2031250000,150016.1093750000,154216.6562500000,167101.4531250000,,,
0.0319999999,0,160082.5937500000,153255.5156250000,157762.6406250000,144471.8125000000,153262.9218750000,149889.7968750000,154101.2500000000,166953.8281250000,,,
0.0359999998,0,160253.3281250000,153426.6406250000,157957.0781250000,144661.0156250000,153456.0312500000,150044.6093750000,154281.0312500000,167115.3437500000,,,
0.0399999998,0,160467.5000000000,153648.3750000000,158171.4375000000,144881.5312500000,153675.4687500000,150256.9375000000,154492.9531250000,167334.9687500000,,,
0.0440000000,0,160441.1562500000,153630.4687500000,158112.1875000000,144855.2968750000,153616.8593750000,150240.2031250000,154445.5000000000,167337.0937500000,,,
0.0480000000,0,160216.8437500000,153403.0625000000,157872.6250000000,144639.0000000000,153390.5156250000,150019.2187500000,154205.2343750000,167121.5156250000,,,
0.0519999999,0,160100.7500000000,153277.1875000000,157781.1250000000,144538.9843750000,153308.0625000000,149887.8437500000,154090.3593750000,166986.8125000000,,,
0.0559999999,0,160243.3125000000,153418.7031250000,157950.7812500000,144672.2031250000,153464.8593750000,150012.5625000000,154240.3906250000,167107.6562500000,,,
0.0599999998,0,160454.0000000000,153639.8281250000,158162.4531250000,144883.7500000000,153675.7343750000,150220.9687500000,154446.2812500000,167334.4843750000,,,
0.0639999998,0,160429.4687500000,153621.6875000000,158107.0937500000,144853.2812500000,153612.8906250000,150208.6406250000,154400.2031250000,167331.1875000000,,,
0.0680000000,0,160224.0781250000,153412.0312500000,157878.5000000000,144652.7812500000,153381.2343750000,150007.3593750000,154174.6875000000,167133.0312500000,,,
0.0719999999,0,160118.6250000000,153301.0937500000,157787.7500000000,144550.1875000000,153300.3593750000,149889.9531250000,154067.5312500000,167009.3437500000,,,
0.0759999999,0,160287.7031250000,153477.4375000000,157991.6562500000,144720.2656250000,153507.2187500000,150045.6093750000,154247.8281250000,167172.2187500000,,,
0.0799999998,0,160489.6250000000,153684.2656250000,158191.7812500000,144935.2812500000,153706.9843750000,150246.3437500000,154451.5625000000,167360.9062500000,,,
0.0839999998,0,160460.6562500000,153653.2656250000,158123.4375000000,144910.6875000000,153639.4687500000,150227.4062500000,154402.9687500000,167360.6718750000,,,
0.0880000000,0,160238.1406250000,153424.6093750000,157875.5937500000,144667.4531250000,153388.8437500000,150010.4218750000,154164.2968750000,167135.7031250000,,,
0.0919999999,0,160113.5312500000,153289.9218750000,157772.0312500000,144528.8125000000,153285.2968750000,149874.5625000000,154043.0937500000,166982.3125000000,,,
0.0959999999,0,160239.7187500000,153413.9843750000,157935.5625000000,144657.4062500000,153442.3593750000,149986.2031250000,154181.4375000000,167082.8437500000,,,
0.0999999999,0,160439.4062500000,153623.7500000000,158130.9375000000,144863.7968750000,153635.2968750000,150185.5468750000,154373.6718750000,167298.7656250000,,,
0.1039999998,0,160427.9843750000,153618.3437500000,158078.9375000000,144851.5312500000,153587.0156250000,150185.0625000000,154336.5000000000,167323.4375000000,,,
0.1079999998,0,160214.7031250000,153396.7343750000,157844.7500000000,144633.7500000000,153351.7343750000,149975.0625000000,154107.1250000000,167112.7500000000,,,
0.1120000000,0,160087.0781250000,153253.8281250000,157736.4375000000,144502.5000000000,153237.0625000000,149834.0625000000,153981.7812500000,166940.4375000000,,,
0.1159999999,0,160239.2187500000,153403.7031250000,157923.6406250000,144657.5625000000,153429.8593750000,149969.2500000000,154147.2656250000,167073.3281250000,,,
0.1199999999,0,160451.3281250000,153627.4062500000,158136.1250000000,144876.5625000000,153639.9531250000,150183.4531250000,154354.9531250000,167301.9843750000,,,
0.1239999998,0,160422.8437500000,153608.3125000000,158071.2031250000,144847.2500000000,153573.3125000000,150167.5937500000,154302.0000000000,167308.9531250000,,,
0.1279999998,1,160207.5625000000,153387.5312500000,157831.0937500000,144644.3437500000,153338.0000000000,149955.2500000000,154068.5468750000,167103.6875000000,,,
0.1319999998,1,160098.0156250000,153267.9843750000,157745.7187500000,144527.1250000000,153257.6875000000,149833.3593750000,153963.7500000000,166958.6250000000,,,
0.1359999997,1,160254.9843750000,153422.7187500000,157942.0312500000,144696.2968750000,153455.5781250000,149974.4843750000,154137.7968750000,167096.7031250000,,,
0.1399999997,1,160452.5625000000,153629.6562500000,158142.2656250000,144901.6406250000,153654.0937500000,150173.6093750000,154336.3125000000,167306.8125000000,,,
0.1439999996,1,160435.5000000000,153624.0312500000,158091.7812500000,144902.9218750000,153603.0312500000,150171.2968750000,154299.9687500000,167331.6718750000,,,
0.1479999996,1,160213.0000000000,153401.8281250000,157850.2500000000,144683.8750000000,153362.3437500000,149956.6406250000,154063.2343750000,167123.1250000000,,,
0.1519999998,1,160082.2812500000,153260.7187500000,157741.4375000000,144540.6718750000,153258.7656250000,149814.2343750000,153936.7500000000,166954.7968750000,,,
0.1559999997,1,160209.3906250000,153383.7187500000,157901.7500000000,144658.4531250000,153417.6562500000,149926.3281250000,154074.6875000000,167055.1875000000,,,
0.1599999997,1,160419.1093750000,153604.6093750000,158111.6875000000,144874.8750000000,153627.5625000000,150139.0312500000,154284.2500000000,167278.9687500000,,,
0.1639999996,1,160406.8281250000,153600.6875000000,158063.4062500000,144866.7656250000,153584.9531250000,150138.4687500000,154253.5468750000,167297.2343750000,,,
