Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,160534.2500000000,152563.9687500000,166860.2187500000,142633.7031250000,143157.3437500000,149642.2656250000,153069.5937500000,163660.7968750000,,,
0.0040000000,0,161826.1093750000,153857.1093750000,168202.5625000000,143922.7968750000,144483.0781250000,150895.9531250000,154375.7656250000,164903.3281250000,,,
0.0079999999,0,162611.5156250000,154650.9062500000,168973.7968750000,144695.4062500000,145249.3593750000,151687.5781250000,155147.5937500000,165697.1562500000,,,
0.0119999999,0,161816.4843750000,153856.0625000000,168133.0625000000,143896.3437500000,144413.3125000000,150930.8437500000,154333.9531250000,164952.7343750000,,,
0.0159999998,0,160528.7812500000,152561.4218750000,166825.9375000000,142618.9531250000,143119.7500000000,149664.2031250000,153044.8281250000,163684.8281250000,,,
0.0199999998,0,160523.8281250000,152554.8750000000,166858.2343750000,142625.7031250000,143151.2812500000,149637.5937500000,153057.4062500000,163648.5625000000,,,
0.0240000000,0,161814.3906250000,153855.2031250000,168197.1718750000,143912.1718750000,144486.4062500000,150892.5468750000,154362.3281250000,164900.1875000000,,,
0.0279999999,0,162600.5156250000,154652.1093750000,168971.6250000000,144698.7031250000,145255.7187500000,151677.5468750000,155137.8906250000,165702.5000000000,,,
0.0319999999,0,161816.0781250000,153860.5937500000,168131.1875000000,143905.2343750000,144411.1406250000,150929.0000000000,154332.3437500000,164964.9687500000,,,
0.0359999998,0,160541.0625000000,152574.0156250000,166831.7656250000,142626.5156250000,143118.0000000000,149674.8437500000,153054.1875000000,163700.4218750000,,,
0.0399999998,0,160544.2812500000,152572.1406250000,166869.5468750000,142635.8437500000,143155.5468750000,149656.2656250000,153073.0468750000,163663.7812500000,,,
0.0440000000,0,161842.9062500000,153876.8281250000,168209.9531250000,143937.1250000000,144488.0468750000,150920.1718750000,154380.7500000000,164922.0312500000,,,
0.0480000000,0,162633.2500000000,154675.8593750000,168988.9218750000,144720.9687500000,145267.5468750000,151708.4687500000,155159.8906250000,165728.5625000000,,,
0.0519999999,0,161850.5781250000,153884.3593750000,168158.4062500000,143932.5625000000,144447.1718750000,150955.7968750000,154360.8593750000,164986.9687500000,,,
0.0559999999,0,160560.4375000000,152584.2968750000,166842.5468750000,142648.9062500000,143141.8906250000,149684.7968750000,153069.4843750000,163715.6562500000,,,
0.0599999998,0,160530.8750000000,152555.9218750000,166848.6562500000,142630.0468750000,143145.2031250000,149638.9375000000,153051.3750000000,163651.8750000000,,,
