Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,126522.0703125000,142805.8906250000,160904.5000000000,138007.7500000000,162413.3906250000,138367.4062500000,150604.8281250000,149759.0468750000,,,
0.0040000000,0,126555.8671875000,142792.8906250000,160935.3593750000,138043.2812500000,162360.5937500000,138400.0781250000,150647.1718750000,149709.2031250000,,,
0.0079999999,0,126659.2890625000,142945.7968750000,160979.0468750000,138181.0781250000,162393.4062500000,138510.5781250000,150747.7031250000,149692.8750000000,,,
0.0119999999,0,126678.1718750000,142996.5156250000,160998.2500000000,138226.1250000000,162444.3593750000,138536.2812500000,150765.6250000000,149780.0156250000,,,
0.0159999998,0,126595.1562500000,142938.5625000000,160921.9218750000,138109.7968750000,162441.2031250000,138458.6562500000,150676.9531250000,149803.2500000000,,,
0.0199999998,0,126508.3125000000,142828.9375000000,160852.7968750000,137991.6562500000,162384.4218750000,138355.1250000000,150592.6718750000,149732.5468750000,,,
0.0240000000,0,126541.1171875000,142842.1093750000,160878.4062500000,138035.1250000000,162391.3125000000,138384.6250000000,150632.6875000000,149695.9375000000,,,
0.0279999999,0,126669.5078125000,142984.3750000000,160991.4375000000,138183.2500000000,162413.6562500000,138517.5000000000,150765.3750000000,149696.1718750000,,,
0.0319999999,0,126688.1484375000,142989.8125000000,161026.9531250000,138210.0312500000,162445.4062500000,138538.7187500000,150781.6406250000,149717.9531250000,,,
0.0359999998,0,126582.1484375000,142920.0312500000,160939.5625000000,138095.9062500000,162453.0781250000,138435.8750000000,150664.0937500000,149755.9531250000,,,
0.0399999998,0,126512.5234375000,142822.2656250000,160849.3593750000,138012.5781250000,162375.5156250000,138363.3750000000,150596.0468750000,149776.7500000000,,,
0.0440000000,0,126574.2421875000,142868.7968750000,160878.7343750000,138077.3437500000,162356.3281250000,138420.8593750000,150655.5781250000,149742.8125000000,,,
0.0480000000,0,126677.8281250000,143053.9218750000,160980.8125000000,138210.8437500000,162429.8281250000,138528.0625000000,150751.5468750000,149732.4062500000,,,
0.0519999999,0,126691.7734375000,143032.0937500000,161012.7812500000,138231.7031250000,162450.0781250000,138533.9375000000,150770.1250000000,149743.8125000000,,,
0.0559999999,0,126602.2109375000,142893.4375000000,160945.2812500000,138107.7656250000,162447.9375000000,138439.3906250000,150678.7968750000,149783.6093750000,,,
0.0599999998,0,126520.5937500000,142806.4843750000,160904.2187500000,138026.9218750000,162400.2343750000,138354.6875000000,150598.8906250000,149752.3437500000,,,
0.0639999998,0,126581.4296875000,142885.6875000000,160954.5781250000,138109.0468750000,162386.7968750000,138406.3750000000,150668.9218750000,149724.9531250000,,,
0.0680000000,0,126709.4765625000,143006.1718750000,160996.5312500000,138219.9375000000,162398.4218750000,138541.1250000000,150801.0781250000,149727.2031250000,,,
0.0719999999,0,126722.3515625000,143054.1406250000,160973.8125000000,138216.9062500000,162450.9375000000,138554.7343750000,150808.6718750000,149758.0156250000,,,
0.0759999999,0,126623.6171875000,142898.0625000000,160953.0781250000,138101.6250000000,162448.7343750000,138448.6250000000,150703.5000000000,149780.2656250000,,,
0.0799999998,0,126552.7265625000,142854.4687500000,160877.7968750000,138019.2031250000,162420.8906250000,138383.7343750000,150629.6406250000,149770.1250000000,,,
0.0839999998,0,126607.5546875000,142854.8281250000,160932.6406250000,138093.9218750000,162403.3750000000,138436.0937500000,150695.1093750000,149690.5156250000,,,
0.0880000000,0,126733.0234375000,143022.2500000000,161053.0000000000,138224.6562500000,162413.8593750000,138559.2343750000,150826.0781250000,149726.3125000000,,,
0.0919999999,0,126772.9609375000,143054.6406250000,161067.3125000000,138235.6875000000,162431.0000000000,138604.2656250000,150862.6406250000,149814.8906250000,,,
0.0959999999,0,126652.8515625000,142899.0312500000,160942.7500000000,138125.9531250000,162452.1093750000,138486.5781250000,150736.1718750000,149757.2187500000,,,
0.0999999999,0,126554.4453125000,142835.1875000000,160887.3437500000,138017.8593750000,162397.4218750000,138383.5781250000,150645.8593750000,149731.2031250000,,,
0.1039999998,0,126608.3046875000,142935.5000000000,160891.3593750000,138073.5156250000,162410.4375000000,138441.8125000000,150689.6093750000,149724.8906250000,,,
0.1079999998,0,126732.5703125000,143024.0625000000,160991.2031250000,138204.5937500000,162433.1718750000,138569.6718750000,150812.0468750000,149727.3593750000,,,
0.1120000000,0,126778.0625000000,143066.1250000000,161054.5468750000,138235.3281250000,162451.5000000000,138613.0625000000,150869.0000000000,149799.8593750000,,,
0.1159999999,0,126687.1875000000,143000.1093750000,160959.3593750000,138116.3750000000,162431.4687500000,138522.4375000000,150775.4062500000,149843.1093750000,,,
0.1199999999,0,126599.0234375000,142910.0937500000,160874.5000000000,138019.5468750000,162404.5937500000,138432.2031250000,150683.5468750000,149747.5937500000,,,
0.1239999998,0,126671.9531250000,142909.9375000000,160955.6875000000,138093.0625000000,162368.9687500000,138502.2187500000,150758.7031250000,149740.2656250000,,,
0.1279999998,1,126785.5156250000,143052.9531250000,161034.9218750000,138236.8125000000,162413.0312500000,138614.4062500000,150872.7500000000,149726.1562500000,,,
0.1319999998,1,126807.0781250000,143089.6718750000,161069.6562500000,138274.2812500000,162482.6875000000,138641.5468750000,150899.4375000000,149745.8125000000,,,
0.1359999997,1,126718.9140625000,142914.2656250000,161027.6250000000,138167.6562500000,162461.8750000000,138554.1718750000,150812.4531250000,149798.2812500000,,,
