Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,128188.1796875000,142605.1875000000,160833.4218750000,147023.8281250000,160387.8281250000,138206.3593750000,150768.7343750000,149052.6562500000,,,
0.0040000000,0,128261.0000000000,142670.8437500000,160876.8750000000,147104.9687500000,160395.8281250000,138264.6562500000,150821.3281250000,149045.8906250000,,,
0.0079999999,0,128372.5000000000,142782.3437500000,160951.9218750000,147222.0156250000,160450.5625000000,138362.1406250000,150910.6562500000,149083.8437500000,,,
0.0119999999,0,128373.9218750000,142780.8437500000,160965.9843750000,147213.6718750000,160474.7343750000,138366.2031250000,150917.3750000000,149098.5468750000,,,
0.0159999998,0,128261.5625000000,142667.1250000000,160883.7187500000,147099.7343750000,160438.8437500000,138268.1875000000,150826.9843750000,149080.9843750000,,,
0.0199999998,0,128182.1953125000,142581.7187500000,160816.5312500000,147035.9062500000,160403.6875000000,138192.3125000000,150756.0781250000,149037.9843750000,,,
0.0240000000,0,128243.8593750000,142659.7656250000,160865.4062500000,147111.2968750000,160412.9062500000,138243.6250000000,150804.9687500000,149041.1250000000,,,
0.0279999999,0,128357.7500000000,142784.3593750000,160948.5000000000,147237.3125000000,160470.9531250000,138350.1093750000,150900.2656250000,149092.5156250000,,,
0.0319999999,0,128353.5859375000,142771.2656250000,160950.7500000000,147229.3750000000,160487.0000000000,138351.8437500000,150899.9218750000,149124.1875000000,,,
0.0359999998,0,128222.8593750000,142654.6250000000,160855.3906250000,147096.2187500000,160434.3125000000,138240.6093750000,150792.3906250000,149101.9843750000,,,
0.0399999998,0,128154.8906250000,142604.2968750000,160805.3437500000,147025.6093750000,160384.5312500000,138180.9687500000,150736.9687500000,149062.4687500000,,,
0.0440000000,0,128233.5859375000,142687.1250000000,160870.0156250000,147113.9218750000,160396.6875000000,138251.2031250000,150802.6875000000,149072.5625000000,,,
0.0480000000,0,128346.3515625000,142791.0625000000,160955.6093750000,147228.2500000000,160449.5781250000,138352.2812500000,150895.5156250000,149098.3906250000,,,
0.0519999999,0,128349.5156250000,142786.5000000000,160964.9687500000,147218.8593750000,160480.2343750000,138360.1093750000,150905.3593750000,149126.9531250000,,,
0.0559999999,0,128228.7343750000,142668.3593750000,160869.5625000000,147097.0000000000,160440.4531250000,138255.5781250000,150804.6406250000,149095.5156250000,,,
0.0599999998,0,128163.5000000000,142597.6562500000,160814.0937500000,147040.8593750000,160402.8593750000,138196.1718750000,150749.7500000000,149044.6875000000,,,
0.0639999998,0,128246.7812500000,142672.7031250000,160880.0781250000,147128.5156250000,160426.9375000000,138266.9218750000,150825.1093750000,149045.6562500000,,,
0.0680000000,0,128378.2890625000,142793.5000000000,160992.4843750000,147262.2343750000,160487.3750000000,138385.9843750000,150942.8906250000,149098.7031250000,,,
0.0719999999,0,128393.1015625000,142785.7343750000,161014.5000000000,147254.9843750000,160494.9062500000,138404.2343750000,150959.6250000000,149138.3593750000,,,
0.0759999999,0,128276.2109375000,142661.1875000000,160916.8437500000,147107.1718750000,160440.4531250000,138298.2343750000,150860.2812500000,149108.9531250000,,,
0.0799999998,0,128208.0234375000,142604.0000000000,160838.9843750000,147025.8750000000,160397.7500000000,138229.2968750000,150796.2812500000,149065.5625000000,,,
0.0839999998,0,128286.2656250000,142682.6250000000,160876.2343750000,147106.7968750000,160412.7187500000,138297.6093750000,150851.4531250000,149045.7656250000,,,
0.0880000000,0,128417.9921875000,142808.7656250000,160973.5781250000,147247.6875000000,160470.7968750000,138420.4531250000,150959.4062500000,149102.5781250000,,,
0.0919999999,0,128436.1250000000,142825.3125000000,160992.2656250000,147261.6875000000,160479.3437500000,138439.7187500000,150979.2343750000,149152.5156250000,,,
0.0959999999,0,128317.5703125000,142696.2187500000,160904.5000000000,147113.9843750000,160424.9062500000,138327.1406250000,150878.2812500000,149105.3125000000,,,
0.0999999999,0,128235.0390625000,142618.8593750000,160831.3437500000,147027.8750000000,160390.9218750000,138251.0781250000,150799.1718750000,149048.9062500000,,,
0.1039999998,0,128308.4218750000,142692.5000000000,160900.6406250000,147117.7343750000,160417.2031250000,138316.2500000000,150861.7500000000,149054.5312500000,,,
0.1079999998,0,128440.0937500000,142803.9375000000,161006.5156250000,147241.5156250000,160474.7968750000,138432.9375000000,150976.9531250000,149118.2656250000,,,
0.1120000000,0,128439.6328125000,142802.9531250000,160979.6406250000,147231.3593750000,160495.1250000000,138433.2500000000,150979.9062500000,149132.4531250000,,,
0.1159999999,0,128329.8281250000,142700.9687500000,160897.0468750000,147103.0625000000,160453.1250000000,138343.1093750000,150889.5937500000,149110.4062500000,,,
0.1199999999,0,128256.9765625000,142639.8125000000,160841.3437500000,147033.3281250000,160396.2812500000,138280.5312500000,150827.2031250000,149067.4687500000,,,
0.1239999998,0,128315.2890625000,142713.2343750000,160878.0000000000,147105.3125000000,160417.9062500000,138330.7656250000,150870.3593750000,149050.5312500000,,,
0.1279999998,1,128429.1484375000,142825.3125000000,160978.5156250000,147248.8437500000,160493.5156250000,138431.8593750000,150963.6718750000,149105.2500000000,,,
0.1319999998,1,128426.4687500000,142818.8750000000,160982.2187500000,147252.6562500000,160515.1562500000,138433.6562500000,150962.8750000000,149131.7343750000,,,
0.1359999997,1,128296.3750000000,142695.9843750000,160897.8593750000,147107.9218750000,160456.5312500000,138319.6406250000,150853.9218750000,149105.7343750000,,,
0.1399999997,1,128206.2812500000,142608.3750000000,160837.7500000000,147027.2187500000,160383.4375000000,138233.7500000000,150776.2500000000,149066.9218750000,,,
0.1439999996,1,128270.6328125000,142666.2031250000,160890.2968750000,147127.0781250000,160406.0781250000,138285.5625000000,150828.9687500000,149062.3125000000,,,
0.1479999996,1,128387.7890625000,142774.5937500000,160981.1875000000,147247.1562500000,160470.2812500000,138389.6093750000,150928.9375000000,149105.0625000000,,,
0.1519999998,1,128384.8359375000,142791.9218750000,160975.1093750000,147223.4218750000,160484.5781250000,138392.7187500000,150928.4062500000,149129.2031250000,,,
0.1559999997,1,128264.4062500000,142678.0625000000,160885.0937500000,147093.9375000000,160432.6250000000,138288.2812500000,150827.7343750000,149092.8125000000,,,
0.1599999997,1,128185.3593750000,142583.0625000000,160811.8906250000,147006.8281250000,160381.2656250000,138211.5156250000,150758.2500000000,149047.3125000000,,,
0.1639999996,1,128249.5234375000,142650.0312500000,160844.0000000000,147087.1250000000,160393.5937500000,138263.2343750000,150806.1250000000,149041.9531250000,,,
0.1679999996,1,128382.8828125000,142798.3906250000,160953.1406250000,147228.9375000000,160461.0781250000,138385.5156250000,150916.9843750000,149097.4687500000,,,
0.1719999998,1,128396.6953125000,142813.5937500000,160980.9218750000,147247.8750000000,160485.0625000000,138401.6250000000,150930.2500000000,149128.9687500000,,,
0.1759999997,1,128270.0156250000,142691.5000000000,160881.4375000000,147128.5937500000,160439.3281250000,138290.0000000000,150821.7656250000,149099.4062500000,,,
0.1799999997,1,128190.2421875000,142616.5937500000,160819.9843750000,147035.2656250000,160398.3750000000,138216.3906250000,150753.0625000000,149040.5625000000,,,
0.1839999997,1,128253.1640625000,142682.0937500000,160859.4687500000,147101.5625000000,160407.1718750000,138269.3125000000,150802.9375000000,149057.4062500000,,,
0.1879999996,1,128374.9921875000,142800.0000000000,160973.1406250000,147236.0781250000,160454.1093750000,138375.3437500000,150905.6406250000,149107.3437500000,,,
0.1919999996,1,128381.9140625000,142795.8125000000,161010.2343750000,147233.8281250000,160471.4843750000,138381.5937500000,150914.8125000000,149140.4375000000,,,
0.1959999998,1,128257.2421875000,142666.3437500000,160911.3750000000,147099.7656250000,160438.0468750000,138270.1406250000,150806.1718750000,149083.0937500000,,,
0.1999999997,1,128161.3281250000,142583.2187500000,160819.1562500000,147004.4687500000,160392.9062500000,138181.2343750000,150721.2031250000,149022.4218750000,,,
0.2039999997,1,128215.0781250000,142638.0468750000,160832.6718750000,147076.7500000000,160403.7968750000,138226.1562500000,150761.3281250000,149029.2187500000,,,
0.2079999996,1,128337.7109375000,142768.0468750000,160932.1875000000,147220.2031250000,160462.7500000000,138335.7500000000,150866.2656250000,149076.3593750000,,,
0.2119999996,1,128345.0312500000,142789.2343750000,160954.3750000000,147238.2187500000,160496.6562500000,138349.4062500000,150879.0781250000,149117.2656250000,,,
0.2159999998,1,128221.5468750000,142663.9531250000,160866.3906250000,147117.0625000000,160455.1875000000,138245.3906250000,150780.7812500000,149103.9687500000,,,
0.2199999997,1,128125.8437500000,142567.9843750000,160790.6250000000,147021.3593750000,160394.2656250000,138158.0781250000,150700.5468750000,149050.7812500000,,,
0.2239999997,1,128185.0390625000,142644.2343750000,160821.8437500000,147098.6093750000,160397.8125000000,138207.1093750000,150747.6562500000,149038.0312500000,,,
0.2279999997,1,128308.0468750000,142772.0937500000,160933.2656250000,147232.7031250000,160452.5625000000,138317.1093750000,150850.1718750000,149098.0625000000,,,
0.2319999996,1,128313.5156250000,142772.9375000000,160964.2343750000,147222.6093750000,160475.4375000000,138327.7812500000,150858.8750000000,149112.3906250000,,,
0.2359999996,1,128188.3125000000,142640.1406250000,160877.3437500000,147070.6093750000,160414.8906250000,138215.0468750000,150755.5312500000,149051.7187500000,,,
0.2399999998,1,128107.1718750000,142549.3437500000,160798.4218750000,146979.0625000000,160353.3593750000,138137.1562500000,150676.6250000000,149012.2656250000,,,
0.2439999997,1,128169.0000000000,142607.6250000000,160817.7187500000,147054.7812500000,160349.1250000000,138186.3750000000,150718.0468750000,149039.5937500000,,,
0.2479999997,1,128293.1562500000,142744.8437500000,160900.3281250000,147181.4687500000,160409.6875000000,138298.2500000000,150821.6875000000,149071.2656250000,,,
0.2519999996,1,128315.2578125000,142769.9531250000,160929.3750000000,147215.2656250000,160448.3750000000,138323.4218750000,150845.6875000000,149092.1406250000,,,
0.2559999996,2,128206.1250000000,142655.6406250000,160856.2812500000,147109.9062500000,160406.5625000000,138227.4687500000,150755.6718750000,149066.9843750000,,,
0.2599999995,2,128106.3671875000,142563.2656250000,160772.3750000000,147000.1250000000,160357.8750000000,138137.9062500000,150663.7500000000,149004.0468750000,,,
0.2639999995,2,128153.3593750000,142613.3906250000,160797.9375000000,147046.2500000000,160362.4843750000,138179.6562500000,150695.1406250000,148997.1093750000,,,
0.2679999995,2,128272.8046875000,142732.0000000000,160881.5000000000,147169.0156250000,160412.8125000000,138289.5625000000,150795.5781250000,149038.8437500000,,,
0.2719999994,2,128291.5000000000,142763.6250000000,160907.9687500000,147196.4531250000,160443.3593750000,138313.5781250000,150818.1718750000,149081.2187500000,,,
0.2759999994,2,128170.4218750000,142645.9062500000,160830.7187500000,147062.9375000000,160384.6093750000,138204.5468750000,150720.9843750000,149060.8593750000,,,
0.2799999996,2,128075.0703125000,142545.4531250000,160767.9531250000,146962.5781250000,160328.6406250000,138114.6093750000,150640.9531250000,148997.6718750000,,,
0.2839999995,2,128130.6953125000,142593.5468750000,160799.5312500000,147037.2187500000,160347.6562500000,138158.7500000000,150685.6718750000,148982.5937500000,,,
0.2879999995,2,128264.0078125000,142723.1250000000,160903.3281250000,147190.1875000000,160418.6718750000,138279.5937500000,150801.1562500000,149040.9843750000,,,
0.2919999994,2,128291.4687500000,142735.1875000000,160915.3125000000,147212.3437500000,160462.8281250000,138310.4062500000,150829.0625000000,149080.5312500000,,,
0.2959999994,2,128183.4843750000,142634.0468750000,160824.6250000000,147092.3125000000,160423.5937500000,138215.9375000000,150741.2656250000,149069.7656250000,,,
0.2999999996,2,128094.7812500000,142562.7500000000,160767.0937500000,146996.8437500000,160359.0468750000,138133.9218750000,150664.9062500000,149024.2968750000,,,
0.3039999995,2,128148.4296875000,142618.2812500000,160818.9687500000,147061.0937500000,160347.8750000000,138178.5781250000,150710.1875000000,149022.0781250000,,,
0.3079999995,2,128277.5781250000,142744.4531250000,160924.4687500000,147207.5625000000,160414.2187500000,138294.4687500000,150822.8125000000,149072.9375000000,,,
