Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,144458.5625000000,123438.5468750000,157554.7968750000,131619.2031250000,117531.4375000000,123120.0078125000,114867.6562500000,132729.6875000000,,,
0.0040000000,0,144459.4843750000,123439.1640625000,157557.2656250000,131624.3281250000,117533.0468750000,123117.9687500000,114867.8437500000,132730.2343750000,,,
0.0079999999,0,144457.6562500000,123440.7734375000,157556.9531250000,131625.1093750000,117531.6250000000,123115.6093750000,114863.8203125000,132732.1875000000,,,
0.0119999999,0,144447.7812500000,123433.2656250000,157548.6093750000,131617.7031250000,117522.4296875000,123100.1093750000,114853.1171875000,132725.2968750000,,,
0.0159999998,0,144432.1250000000,123420.6875000000,157534.2812500000,131615.7187500000,117506.9531250000,123084.8750000000,114837.5859375000,132712.6562500000,,,
0.0199999998,0,144428.0156250000,123417.1171875000,157530.1875000000,131612.7500000000,117501.3203125000,123083.2109375000,114829.1640625000,132708.9687500000,,,
0.0240000000,0,144432.0625000000,123422.2656250000,157534.5000000000,131613.3125000000,117503.4062500000,123088.4375000000,114833.9375000000,132714.3281250000,,,
0.0279999999,0,144424.6875000000,123417.1953125000,157528.6718750000,131609.2031250000,117496.5390625000,123079.4843750000,114829.5156250000,132709.6562500000,,,
0.0319999999,0,144413.5000000000,123408.0000000000,157518.3593750000,131587.0781250000,117487.1015625000,123071.2187500000,114824.3359375000,132700.7812500000,,,
0.0359999998,0,144406.6093750000,123400.3828125000,157510.3593750000,131568.9218750000,117481.6796875000,123069.4765625000,114816.2656250000,132693.0781250000,,,
0.0399999998,0,144419.5156250000,123410.6796875000,157521.6562500000,131585.5781250000,117496.2734375000,123082.1875000000,114822.0546875000,132703.0312500000,,,
0.0440000000,0,144443.5781250000,123430.0703125000,157545.6250000000,131619.4687500000,117522.8281250000,123101.1015625000,114844.1562500000,132722.8281250000,,,
0.0480000000,0,144446.9218750000,123431.1171875000,157550.9218750000,131624.6250000000,117528.1093750000,123098.8984375000,114850.0312500000,132724.0625000000,,,
0.0519999999,0,144438.6406250000,123422.5625000000,157545.2500000000,131617.3750000000,117521.7578125000,123082.3515625000,114839.9765625000,132715.7968750000,,,
0.0559999999,0,144437.5312500000,123420.3359375000,157546.3281250000,131619.9843750000,117521.7031250000,123072.6171875000,114833.7812500000,132713.7343750000,,,
0.0599999998,0,144442.7656250000,123427.7109375000,157552.5468750000,131620.2812500000,117525.8359375000,123077.3593750000,114835.0703125000,132720.9843750000,,,
0.0639999998,0,144445.9375000000,123430.7968750000,157556.2187500000,131621.4531250000,117527.8203125000,123081.9218750000,114839.8125000000,132723.9218750000,,,
0.0680000000,0,144443.4687500000,123429.0781250000,157556.3125000000,131620.4375000000,117526.0234375000,123077.7109375000,114838.0703125000,132721.9687500000,,,
0.0719999999,0,144437.1406250000,123421.7578125000,157550.6406250000,131620.1250000000,117520.4375000000,123068.1640625000,114829.4843750000,132714.6406250000,,,
0.0759999999,0,144423.4062500000,123406.2265625000,157535.2187500000,131610.4687500000,117506.0625000000,123056.0937500000,114818.2187500000,132698.9062500000,,,
0.0799999998,0,144422.9531250000,123401.8281250000,157531.0937500000,131607.7500000000,117502.7656250000,123056.5781250000,114817.8203125000,132694.1562500000,,,
0.0839999998,0,144431.5000000000,123408.7734375000,157538.2812500000,131608.9375000000,117509.6328125000,123067.6250000000,114827.1562500000,132701.2343750000,,,
0.0880000000,0,144434.7968750000,123411.9140625000,157542.2031250000,131601.5781250000,117514.0000000000,123067.9453125000,114833.9921875000,132705.0781250000,,,
0.0919999999,0,144418.0156250000,123399.2265625000,157526.0781250000,131585.5156250000,117498.5000000000,123053.7890625000,114819.8281250000,132692.4375000000,,,
0.0959999999,0,144406.4218750000,123392.8437500000,157514.9687500000,131585.1406250000,117485.6796875000,123052.0703125000,114811.1406250000,132685.4375000000,,,
0.0999999999,0,144418.4375000000,123407.7812500000,157527.5781250000,131594.8593750000,117495.5000000000,123072.8281250000,114821.7656250000,132700.1562500000,,,
0.1039999998,0,144430.7031250000,123422.1875000000,157540.0000000000,131608.9531250000,117507.1093750000,123088.1953125000,114834.1250000000,132714.8906250000,,,
0.1079999998,0,144429.2812500000,123418.6484375000,157535.6250000000,131604.7187500000,117508.4531250000,123089.2421875000,114840.1328125000,132711.6406250000,,,
0.1120000000,0,144416.1406250000,123407.3515625000,157523.4687500000,131589.4531250000,117497.5625000000,123080.5781250000,114829.7578125000,132700.3750000000,,,
0.1159999999,0,144406.7187500000,123398.7968750000,157515.8593750000,131586.0468750000,117486.8359375000,123072.2656250000,114822.5703125000,132691.6875000000,,,
0.1199999999,0,144424.1875000000,123413.1718750000,157529.6250000000,131607.5937500000,117500.8359375000,123094.1015625000,114841.7734375000,132705.4687500000,,,
0.1239999998,0,144439.2031250000,123427.6875000000,157542.2187500000,131627.7656250000,117513.3046875000,123119.7656250000,114858.2656250000,132719.5312500000,,,
0.1279999998,1,144438.7656250000,123425.4296875000,157539.6562500000,131620.2500000000,117512.7968750000,123125.3750000000,114860.8671875000,132717.2968750000,,,
0.1319999998,1,144439.2343750000,123424.1718750000,157539.5937500000,131613.2031250000,117514.8906250000,123124.5703125000,114863.0390625000,132716.2343750000,,,
0.1359999997,1,144438.3437500000,123423.9843750000,157538.4375000000,131615.6875000000,117515.0000000000,123131.6484375000,114869.9609375000,132715.6093750000,,,
0.1399999997,1,144447.0937500000,123433.6953125000,157546.2500000000,131631.5937500000,117521.0546875000,123152.6015625000,114882.2734375000,132725.3281250000,,,
0.1439999996,1,144454.6718750000,123443.2421875000,157553.7343750000,131637.2343750000,117526.2109375000,123171.3750000000,114892.7890625000,132734.9843750000,,,
0.1479999996,1,144453.9062500000,123444.2890625000,157553.7031250000,131635.5625000000,117526.2578125000,123171.9921875000,114893.8046875000,132736.4218750000,,,
0.1519999998,1,144444.8281250000,123436.9921875000,157544.2812500000,131624.6718750000,117518.1640625000,123164.7500000000,114884.8750000000,132728.1406250000,,,
0.1559999997,1,144435.8437500000,123424.6015625000,157530.5625000000,131596.6562500000,117507.6171875000,123159.9765625000,114883.1328125000,132715.8750000000,,,
0.1599999997,1,144442.4687500000,123433.6406250000,157536.2968750000,131594.7656250000,117511.3750000000,123174.2187500000,114889.4921875000,132725.0468750000,,,
0.1639999996,1,144452.6093750000,123442.1406250000,157545.6093750000,131607.7812500000,117520.0156250000,123180.4921875000,114894.5859375000,132732.7031250000,,,
0.1679999996,1,144454.6718750000,123442.4140625000,157546.2187500000,131616.0625000000,117522.7500000000,123179.3125000000,114899.6015625000,132732.7500000000,,,
0.1719999998,1,144449.2031250000,123434.5234375000,157537.7656250000,131608.9375000000,117520.0390625000,123174.0000000000,114899.1171875000,132725.1562500000,,,
