Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0.0000000000,0,-5767.9570312500,157173.9843750000,191387.3906250000,163183.1562500000,122329.0781250000,140300.5000000000,152998.4062500000,156354.7812500000,,,
0.0040000000,0,-5646.3188476563,157242.2968750000,191485.7656250000,163324.7656250000,122444.4375000000,140394.1562500000,153104.0000000000,156461.5625000000,,,
0.0079999999,0,-5566.4697265625,157321.5781250000,191562.2187500000,163422.5625000000,122513.2109375000,140480.3750000000,153175.1093750000,156550.0781250000,,,
0.0119999999,0,-5629.4746093750,157291.7343750000,191509.4218750000,163322.4375000000,122442.0234375000,140432.8125000000,153117.2187500000,156491.2812500000,,,
0.0159999998,0,-5752.9638671875,157188.5468750000,191389.6406250000,163182.7031250000,122312.0468750000,140323.0781250000,152996.9218750000,156361.2968750000,,,
0.0199999998,0,-5767.7426757813,157149.8125000000,191363.8125000000,163161.7812500000,122294.1015625000,140294.5937500000,152972.2812500000,156338.8437500000,,,
0.0240000000,0,-5631.7812500000,157236.4531250000,191480.6718750000,163301.8437500000,122428.3984375000,140401.9687500000,153094.4218750000,156468.9687500000,,,
0.0279999999,0,-5538.1186523438,157314.4843750000,191566.2656250000,163406.8437500000,122516.8359375000,140483.6875000000,153183.0937500000,156553.5000000000,,,
0.0319999999,0,-5594.0424804688,157291.4843750000,191523.3437500000,163344.3593750000,122458.2031250000,140431.4375000000,153123.9843750000,156498.0625000000,,,
0.0359999998,0,-5713.1596679688,157194.1250000000,191409.2812500000,163216.7812500000,122334.3359375000,140322.5000000000,153001.7187500000,156374.3593750000,,,
0.0399999998,0,-5734.5903320313,157148.5312500000,191377.0000000000,163219.6093750000,122308.0234375000,140301.4687500000,152971.2500000000,156348.5625000000,,,
0.0440000000,0,-5626.1220703125,157209.9531250000,191469.5937500000,163347.8125000000,122419.1484375000,140380.5156250000,153064.7031250000,156449.5781250000,,,
0.0480000000,0,-5539.8085937500,157289.0000000000,191550.4375000000,163381.0468750000,122503.9843750000,140446.8125000000,153147.2968750000,156533.2812500000,,,
0.0519999999,0,-5597.5566406250,157262.6875000000,191499.6718750000,163290.3281250000,122440.7968750000,140390.8593750000,153096.2968750000,156473.3593750000,,,
0.0559999999,0,-5721.3403320313,157159.4687500000,191381.9218750000,163156.8437500000,122314.4062500000,140275.5312500000,152972.1093750000,156346.8906250000,,,
